laptop_ID,Inches,Memory,SSD_Flag,HDD_Flag,Storage_GB,Ram_GB,Company_std,OpSys_std,Weight_kg,Screen_W,Screen_H,PPI,Company_Apple,Company_Asus,Company_Chuwi,Company_Dell,Company_Fujitsu,Company_Google,Company_HP,Company_Huawei,Company_LG,Company_Lenovo,Company_MSI,Company_Mediacom,Company_Microsoft,Company_Razer,Company_Samsung,Company_Toshiba,Company_Vero,Company_Xiaomi,TypeName_Gaming,TypeName_Netbook,TypeName_Notebook,TypeName_Ultrabook,TypeName_Workstation,Cpu_Brand_Intel,Cpu_Brand_Other,Gpu_Brand_Intel,Gpu_Brand_Nvidia,Gpu_Brand_Other,OS_Simplified_MacOS,OS_Simplified_Other,OS_Simplified_Windows
1,13.3,128GB SSD,1,0,128.0,8,Apple,Mac,1.37,2560,1600,226.98300468106115,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,True,False,False
2,13.3,128GB Flash Storage,0,0,128.0,8,Apple,Mac,1.34,1440,900,127.67794013309688,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,True,False,False
3,15.6,256GB SSD,1,0,256.0,8,HP,Other,1.86,1920,1080,141.21199808219862,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,True,False
4,15.4,512GB SSD,1,0,512.0,16,Apple,Mac,1.83,2880,1800,220.53462386625827,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False
5,13.3,256GB SSD,1,0,256.0,8,Apple,Mac,1.37,2560,1600,226.98300468106115,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,True,False,False
6,15.6,500GB HDD,0,1,500.0,4,Acer,Windows,2.1,1366,768,100.45466986113651,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
7,15.4,256GB Flash Storage,0,0,256.0,16,Apple,Mac,2.04,2880,1800,220.53462386625827,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,True,False,False
8,13.3,256GB Flash Storage,0,0,256.0,8,Apple,Mac,1.34,1440,900,127.67794013309688,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,True,False,False
9,14.0,512GB SSD,1,0,512.0,16,Asus,Windows,1.3,1920,1080,157.3505121487356,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,True
10,14.0,256GB SSD,1,0,256.0,8,Acer,Windows,1.6,1920,1080,157.3505121487356,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,True
11,15.6,500GB HDD,0,1,500.0,4,HP,Other,1.86,1366,768,100.45466986113651,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,True,False
12,15.6,500GB HDD,0,1,500.0,4,HP,Other,1.86,1920,1080,141.21199808219862,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,True,False
13,15.4,256GB SSD,1,0,256.0,16,Apple,Mac,1.83,2880,1800,220.53462386625827,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False
14,15.6,256GB SSD,1,0,256.0,4,Dell,Windows,2.2,1920,1080,141.21199808219862,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True
15,12.0,256GB SSD,1,0,256.0,8,Apple,Mac,0.92,2304,1440,226.41554716935852,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,True,False,False
16,13.3,256GB SSD,1,0,256.0,8,Apple,Mac,1.37,2560,1600,226.98300468106115,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,True,False,False
17,15.6,256GB SSD,1,0,256.0,8,Dell,Windows,2.2,1920,1080,141.21199808219862,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True
18,15.4,512GB SSD,1,0,512.0,16,Apple,Mac,1.83,2880,1800,220.53462386625827,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False
19,15.6,1TB HDD,0,1,1000.0,8,Lenovo,Other,2.2,1920,1080,141.21199808219862,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False
20,13.3,128GB SSD,1,0,128.0,8,Dell,Windows,1.22,1920,1080,165.6321180513006,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,True
21,11.6,32GB Flash Storage,0,0,32.0,2,Asus,Windows,0.98,1366,768,135.0942111925629,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True
22,15.6,128GB SSD +  1TB HDD,1,1,1128.0,8,Lenovo,Windows,2.5,1920,1080,141.21199808219862,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True
23,15.6,500GB HDD,0,1,500.0,4,HP,Other,1.86,1366,768,100.45466986113651,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
24,13.3,256GB SSD,1,0,256.0,8,Dell,Windows,1.62,1920,1080,165.6321180513006,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True
25,15.6,256GB SSD,1,0,256.0,8,HP,Windows,1.91,1920,1080,141.21199808219862,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,True
26,15.6,1TB HDD,0,1,1000.0,4,Dell,Windows,2.3,1366,768,100.45466986113651,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,True
27,13.3,128GB Flash Storage,0,0,128.0,8,Apple,Mac,1.35,1440,900,127.67794013309688,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,True,False,False
28,15.6,256GB SSD,1,0,256.0,8,Dell,Windows,2.2,1920,1080,141.21199808219862,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True
29,15.6,256GB SSD +  256GB SSD,1,0,512.0,8,Dell,Windows,1.88,1920,1080,141.21199808219862,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,True
30,17.3,1TB HDD,0,1,1000.0,8,HP,Windows,2.5,1920,1080,127.33567457123111,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,True
31,15.6,64GB Flash Storage,0,0,64.0,4,Other,Windows,1.89,1920,1080,141.21199808219862,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,True
32,14.0,32GB Flash Storage,0,0,32.0,2,Asus,Windows,1.65,1366,768,111.93520355955211,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
33,17.3,500GB HDD,0,1,500.0,4,HP,Windows,2.71,1920,1080,127.33567457123111,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
34,13.3,512GB SSD,1,0,512.0,16,Dell,Windows,1.2,3200,1800,276.053530085501,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,True
35,13.3,256GB Flash Storage,0,0,256.0,8,Apple,Mac,1.35,1440,900,127.67794013309688,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,True,False,False
36,14.0,64GB Flash Storage,0,0,64.0,4,Lenovo,Windows,1.44,1366,768,111.93520355955211,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,True
37,15.6,1TB HDD,0,1,1000.0,4,Acer,Linux,2.1,1366,768,100.45466986113651,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False
38,17.3,128GB SSD +  1TB HDD,1,1,1128.0,8,Dell,Windows,2.8,1920,1080,127.33567457123111,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True
39,15.6,1TB HDD,0,1,1000.0,4,HP,Windows,1.86,1366,768,100.45466986113651,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,True
40,15.6,256GB SSD,1,0,256.0,8,HP,Windows,2.1,1920,1080,141.21199808219862,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,True
41,15.6,1TB HDD,0,1,1000.0,4,Asus,Linux,2.0,1920,1080,141.21199808219862,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False
42,15.6,256GB SSD +  1TB HDD,1,1,1256.0,16,Dell,Windows,2.65,1920,1080,141.21199808219862,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True
43,15.6,1TB HDD,0,1,1000.0,8,Asus,Linux,2.3,1366,768,100.45466986113651,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False
