Inches,Ram_GB,Storage_GB,Cpu_Clock,Cpu_Tier,Gpu_Tier,SSD_Flag,HDD_Flag,Weight_kg,Screen_W,Screen_H,PPI,Company_enc_Acer,Company_enc_Apple,Company_enc_Asus,Company_enc_Dell,Company_enc_HP,Company_enc_Lenovo,Company_enc_MSI,Company_enc_Other,Company_enc_Razer,Company_enc_Samsung,Company_enc_Toshiba,TypeName_2 in 1 Convertible,TypeName_Gaming,TypeName_Netbook,TypeName_Notebook,TypeName_Ultrabook,TypeName_Workstation,Cpu_Brand_AMD,Cpu_Brand_Intel,Cpu_Brand_Other,Gpu_Brand_AMD,Gpu_Brand_Intel,Gpu_Brand_Nvidia,Gpu_Brand_Other,OpSys_enc_Chrome OS,OpSys_enc_Linux,OpSys_enc_No OS,OpSys_enc_Other,OpSys_enc_Windows 10,OpSys_enc_Windows 7
13.3,0.0,128.0,2.3,2,0,1,0,1.37,2560,1600,226.98300468106115,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
13.3,0.0,128.0,1.8,2,0,0,0,1.34,1440,900,127.67794013309688,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
15.6,0.0,256.0,2.5,2,0,1,0,1.86,1920,1080,141.21199808219862,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
15.4,0.0,512.0,2.7,3,0,1,0,1.83,2880,1800,220.53462386625827,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
13.3,0.0,256.0,3.1,2,0,1,0,1.37,2560,1600,226.98300468106115,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
15.6,0.0,500.0,3.0,1,1,0,1,2.1,1366,768,100.45466986113651,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
15.4,0.0,256.0,2.2,3,0,0,0,2.04,2880,1800,220.53462386625827,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
13.3,0.0,256.0,1.8,2,0,0,0,1.34,1440,900,127.67794013309688,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
14.0,0.0,512.0,1.8,3,0,1,0,1.3,1920,1080,157.3505121487356,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
14.0,0.0,256.0,1.6,2,0,1,0,1.6,1920,1080,157.3505121487356,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
